Foundation,Project,Repository URL,Check Sets,Adopters,Annual Review,Changelog,Code of Conduct,Contributing,Governance,Maintainers,Readme,Roadmap,Summary Table,Website,License Approved,License Scanning,License SPDX ID,Analytics,ArtifactHub Badge,CLA,Community Meeting,DCO,GitHub discussions,OpenSSF best practices badge,OpenSSF Scorecard badge,Recent Release,Slack Presence,Binary Artifacts,Code Review,Dangerous Workflow,Dependency Update Tool,Maintained,SBOM,Security Policy,Signed Releases,Token Permissions,Trademark Disclaimer
cncf,teller,https://github.com/SpectralOps/teller,"{community,code}",f,f,t,t,t,f,t,t,t,f,t,t,f,Apache-2.0,GA3,f,f,f,f,t,f,f,t,f,t,f,t,f,f,f,t,f,f,f
cncf,thanos,https://github.com/thanos-io/thanos,"{community,code}",t,f,t,t,t,t,t,t,f,t,t,t,f,Apache-2.0,GA3,f,f,f,t,t,t,f,t,t,t,f,t,t,t,f,t,f,f,f
cncf,tikv,https://github.com/tikv/tikv,"{community,code}",t,f,t,t,t,t,t,t,f,t,t,t,f,Apache-2.0,GA3,f,f,f,t,f,t,f,t,f,t,t,t,f,t,f,t,f,t,f
cncf,tikv,https://github.com/tikv/pprof-rs,{code-lite},,,,,f,,f,t,,,,t,,Apache-2.0,,,f,,t,,,,f,,,,,,,,,,,
cncf,tikv,https://github.com/tikv/raft-rs,{code-lite},,,,,t,,f,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
cncf,tikv,https://github.com/tikv/grpc-rs,{code-lite},,,,,t,,f,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
cncf,tikv,https://github.com/tikv/pd,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
cncf,tikv,https://github.com/tikv/rust-prometheus,{code-lite},,,,,f,,f,t,,,,t,,Apache-2.0,,,f,,t,,,,f,,,,,,,,,,,
cncf,tinkerbell,https://github.com/tinkerbell/tink,"{community,code}",f,f,t,t,t,f,t,t,f,f,t,t,f,Apache-2.0,GA3,f,f,f,t,f,t,f,t,f,t,t,t,t,t,f,f,f,f,t
cncf,tremor,https://github.com/tremor-rs/tremor-runtime,"{community,code}",f,t,t,t,t,f,t,t,f,f,t,t,f,Apache-2.0,,f,f,f,t,f,t,f,f,f,t,t,f,t,t,f,t,f,f,t
cncf,trickster,https://github.com/trickstercache/trickster,"{community,code}",t,f,f,t,t,t,t,t,t,f,t,t,f,Apache-2.0,,f,f,f,t,f,t,f,f,f,t,f,t,t,f,f,t,f,f,t
cncf,tuf,https://github.com/theupdateframework/python-tuf,"{community,code}",f,f,t,t,t,t,t,t,f,t,t,t,f,Apache-2.0,,f,f,f,t,f,t,t,t,t,t,t,t,t,t,f,t,t,t,t
cncf,tuf,https://github.com/theupdateframework/specification,{docs},,,,,,,,t,,,,t,,Apache-2.0,,,,,,,,,,,,,,,,,,,,
cncf,vineyard,https://github.com/v6d-io/v6d,"{community,code}",f,f,f,t,t,t,t,t,f,t,t,t,t,Apache-2.0,GA4,t,f,f,t,t,t,f,t,t,t,f,t,t,t,f,t,f,f,t
cncf,virtual-kubelet,https://github.com/virtual-kubelet/virtual-kubelet,"{community,code}",t,t,t,t,t,f,f,t,f,f,t,t,f,Apache-2.0,,f,t,f,f,t,f,f,t,t,t,f,t,t,t,f,f,f,t,f
